Jawaban (Indo),Answers (Eng),perceived ease of use,performance expectancy,effort expectancy,system quality,perceived usefulness,resistance to change,facilitating conditions,technological incapability,functionality,cost
"Tidak, saya merasa penggunaan aplikasi ini justru buat ribet saya dalam mentidakses informasi kesehatan. lebih ribet gitu sih kalau dari saya","No, I feel that the use of this application actually makes it difficult for me to access health information. It's more complicated than I am.",,,1,,,,,,,
Informasinya terbatas tersebar dan tidak terstruktur dengan baik. Sering kali saya harus mencari informasi di luar aplikasi karena apa yang saya butuhkan tidak tersedia atau sulit ditemukan.,"The information is limited, scattered and not well structured. Many times I have to look outside of the app because what I need is not available or hard to find.",,,,,,,,,1,
"Ya, ada banyak kendala saat menggunakan aplikasi ini. Misalnya, sering terjadi bug yang menyebabkan aplikasi tiba-tiba keluar sendiri.","Yes, there are many obstacles when using this app. For example, there are frequent bugs that cause apps to suddenly exit on their own.",,,,,,,,2,,
"saya biasanya hanya bisa menunggu update dari pengembang, yang sayangnya tidak lambat.","I can usually just wait for updates from the developer, which unfortunately isn't slow.",,1,,,,,,,,
"Ya, saya sering mengalami kesulitan saat ingin menggunakan fitur tertentu, seperti memasukkan data hasil pemeriksaan yang sering kali tidak tersimpan dengan benar dan fitur terbatas di aplikasinya","Yes, I often have trouble when trying to use certain features, such as entering the check results data that is often not stored correctly and the limited features in the app",,,,1,,,,,,
"Ketika saya menghubungi customer service, responsnya lambat lama dan solusi yang diberikan tidak efektif.","When I contacted customer service, the response was slow and the solution provided was ineffective.",,1,,,,,,,,
Saya merasa aplikasi ini tidak efisien dalam membantu saya mengelola kesehatan selama kehamilan.,I feel that this app is inefficient in helping me manage my health during pregnancy.,,,,,1,,,,,
Banyak informasi yang diberikan tidak spesifik dan tidak memberikan solusi konkret untuk masalah kesehatan yang saya hadapi. informasi terbatas di aplikasi ini,A lot of the information provided was not specific and did not provide concrete solutions to the health problems I was facing. Limited information on this app,,,,,,,,,1,
"Saya merasa perubahan teknologi dalam bentuk aplikasi kesehatan tidak membawa dampak yang signifikan. jadi saya tidak  pakai , lebih ke malas aja","I feel that technological changes in the form of health applications do not have a significant impact. So I don't use it, it's more lazy",,,,,,2,,,,
Banyak fitur yang tidak praktis dan justru membuat saya lebih takut karena informasi yang diberikan tidak selalu akurat. fitur terbatas soalnya,Many of the features are impractical and actually make me more afraid because the information provided is not always accurate. Limited features,,,,1,,2,,,,
Dokter kandungan saya tidak merekomendasikan penggunaan aplikasi ini secara khusus. jadi lebih dari diri sendiri,My obstetrician does not recommend the use of this app specifically. Be More Than Yourself,,,,,,,1,,,
Rekomendasi dari tenaga kesehatan tidak terlalu mempengaruhi saya karena saya merasa aplikasi ini tidak memberikan manfaat yang cukup signifikan dalam memantau kehamilan saya. jadi dari diri sendiri aja mau pakai yang mana,The recommendations from health workers did not affect me too much because I felt that this application did not provide significant enough benefits in monitoring my pregnancy. So from yourself which one do you want to use?,,,,,,,1,,,
"Ya, saya merasa faktor usia mempengaruhi penggunaan aplikasi kesehatan ini. Saya yang lebih tua merasa sulit sulit dalam mengoperasikan aplikasi ini","Yes, I feel that the age factor affects the use of this health app. I, the older one, found it difficult to operate this app",1,,,,,,,,,
dibandingkan dengan orang yang lebih muda dan terbiasa dengan teknologi. Fitur-fitur di aplikasi ini tidak dirancang dengan mempertimbangkan pengguna yang kurang paham teknologi. bagi saya sulit gunain aplikasi ini,compared to people who are younger and used to technology. The features in this app are not designed with less tech-savvy users in mind. For me it is difficult to use this application,1,,,,,,,,,
"Menurut saya, perbedaan jenjang pendidikan sangat memengaruhi penerimaan terhadap penggunaan aplikasi kesehatan. Orang-orang dengan pendidikan lebih rendah sering kali merasa bingung dan kurang percaya diri dalam menggunakan aplikasi ini. Banyak istilah medis dan fitur yang sulit sulit dipahami oleh mereka. ","In my opinion, differences in education levels greatly affect acceptance of the use of health applications. People with lower education often feel confused and lack confidence in using these apps. Many medical terms and features are difficult for them to understand.",1,,,,,,,,,
Saya melihat adanya perbedaan gender dalam penggunaan aplikasi kesehatan. Banyak teman laki-laki saya yang tidak tertarik menggunakan aplikasi ini karena mereka merasa tidak membutuhkannya atau tidak percaya dengan teknologi kesehatan. tidak membantu bagi mereka,I see a gender difference in the use of health apps. Many of my male friends are not interested in using this app because they feel they don't need it or don't believe in health technology. Not helpful for them,,,,,1,,,,,
"Sementara, teman-teman perempuan saya lebih terbuka dan aktif menggunakan aplikasi ini, meskipun mereka juga mengeluhkan beberapa fitur terbatas yang ada di aplikasi","My female friends are more open and active in using the app, although they also complain about some of the limited features present in the app",,,,1,,,,,,
"Meskipun asuransi memberikan rasa aman, aplikasi ini sendiri tidak memberikan manfaat tambahan yang signifikan yang membuat saya merasa perlu menggunakannya lebih sering. karena tidak ribet bagi saya ya","While insurance provides a sense of security, the app itself doesn't provide any significant additional benefits that make me feel the need to use it more often. Because it's not complicated for me",,,1,,,,,,,
"Saya merasa aplikasi kesehatan belum efektif dalam mendukung kesadaran kesehatan di masyarakat. Banyak orang yang masih ragu dan tidak yakin dengan informasi yang diberikan oleh aplikasi ini. Selain itu, fitur-fitur edukasi yang ada sering kali terasa membosankan dan tidak menarik. fitur terbatas dan monoton gitu ","I feel that health applications have not been effective in supporting health awareness in the community. Many people are still doubtful and unsure of the information provided by this application. In addition, the educational features that exist often feel boring and uninteresting. Limited and monotonous features",,,,1,,,,,,
"Ketika saya merasa bingung saat menggunakan aplikasi ini, saya biasanya mencoba mencari panduan atau tutorial di internet. Namun, banyak panduan yang tidak lengkap atau sulit sulit dipahami. Jika kebingungan tetap tidak teratasi, saya biasanya meninggalkan fitur tersebut dan mencari alternatif lain.","When I feel confused while using this app, I usually try to find guides or tutorials on the internet. However, many guides are incomplete or difficult to understand. If the confusion remains unresolved, I usually abandon the feature and look for other alternatives.",1,,,,,,,,,
Saya tidak merasa terlalu nyaman menggunakan ponsel untuk mendapatkan informasi kesehatan. Aplikasi ini sering kali lambat dan tidak responsif,I don't feel too comfortable using my phone to get health information. The app is often slow and unresponsive,,1,,,,,,,,
"Saya merasa kemampuan saya dalam menggunakan teknologi tidak cukup untuk memanfaatkan aplikasi kesehatan ini sepenuhnya. Banyak fitur yang terasa rumit dan tidak user-friendly, sehingga saya sering merasa bingung dan frustrasi saat menggunakannya.dan juga fitur terbatas di aplikasinya","I feel like my ability to use technology isn't enough to take full advantage of this health app. Many of the features feel complicated and not user-friendly, so I often feel confused and frustrated when using them.",,,,1,,,,,,
Saya merasa kurang mampu dan takut mengatasi masalah kesehatan menggunakan aplikasi ini. Informasi yang diberikan sering kali tidak spesifik dan tidak memberikan solusi yang jelas untuk masalah kesehatan yang saya alami. Saya lebih percaya untuk berkonsultasi langsung dengan tenaga medis daripada mengandalkan aplikasi ini.,I feel underpowered and afraid to overcome health problems using this app. The information provided was often non-specific and did not provide a clear solution to the health problems I was experiencing. I believe in consulting directly with medical personnel rather than relying on this app.,,,,,,2,,,,
"Tidak, sebelum menggunakan aplikasi kesehatan ini, saya tidak terlalu terbiasa dan takut dengan penggunaan teknologi digital. Saya jarang menggunakan aplikasi di ponsel dan lebih sering menggunakan perangkat sederhana. Adaptasi ke aplikasi kesehatan ini cukup sulit bagi saya karena tidak terbiasa dengan teknologi digital.","No, before using this health app, I was not very familiar and scared of the use of digital technology. I rarely use apps on my phone and more often use simple devices. Adapting to this health app was quite difficult for me because I was not familiar with digital technology.",,,,,,2,,,,
"Fitur-fitur yang ada tidak terlalu membantu dalam mengelola kesehatan selama kehamilan, sehingga saya tidak merasa perlu untuk terus menggunakannya. dan juga fitur terbatas itu tadi","The features are not very helpful in managing my health during pregnancy, so I don't feel the need to continue using them. and also that limited feature earlier",,,,1,,,,,,
"Saya merasa aplikasi kesehatan ini kurang efektif dalam mendukung gaya hidup sehat. Banyak informasi yang terasa umum dan tidak spesifik, serta fitur-fitur yang ada tidak memberikan motivasi yang cukup untuk menjalani pola hidup sehat. Saya lebih memilih mencari sumber informasi lain yang lebih terpercaya dan praktis. lebih ke informasi terbatas yang ada disana","I feel that this health application is less effective in supporting a healthy lifestyle. A lot of information feels general and non-specific, and the features do not provide enough motivation to live a healthy lifestyle. I prefer to look for other sources of information that are more reliable and practical. more to the limited information that is there",,,,,,,,,1,
"Pengalaman belajar saya dalam menggunakan aplikasi kesehatan ini kurang . Banyak fitur yang tidak intuitif dan sulit dipahami, serta panduan yang tersedia tidak cukup membantu. Saya sering kali merasa frustrasi dan akhirnya mencari sumber informasi lain. fitur terbatas juga tadi jadi masalah saya","My learning experience in using this health app is lacking. Many of the features are unintuitive and difficult to understand, and the guides available aren't helpful enough. I often get frustrated and end up looking for other sources of information. The limited features were also a problem for me.",,,,1,,,,,,
"Tidak, penggunaan aplikasi ini tidak terlalu dipengaruhi oleh rekomendasi dari orang terdekat. Kebanyakan teman dan keluarga saya juga tidak menggunakan aplikasi ini karena mereka merasa tidak terlalu bermanfaat. jadi dari diri sendiri aja taunya","No, the use of this app is not too affected by recommendations from people close to you. Most of my friends and family don't use this app either because they don't find it very useful. So don't let yourself know.",,,,,,,1,,,
"Iya, saya pernah berdiskusi tentang aplikasi ini dengan teman-teman dan keluarga. Tanggapan mereka umumnya negatif karena mereka juga mengalami kesulitan dan merasa aplikasi ini tidak memberikan manfaat yang signifikan. bagi saya juga sulit digunain","Yes, I have discussed this application with friends and family. Their responses are generally negative because they also have difficulties and feel that these apps do not provide significant benefits. for me it is also difficult to use",1,,,,,,,,,
"Media sosial dan komunitas online tidak terlalu mempengaruhi penggunaan aplikasi ini. Saya jarang melihat diskusi yang bermanfaat tentang aplikasi ini di platform tersebut, sehingga saya lebih banyak mencari informasi dari sumber lain. dan disana informasi terbatas","Social media and online communities don't really affect the use of this app. I rarely see helpful discussions about these apps on those platforms, so I look for more information from other sources. There is limited information",,,,,,,,,1,
"Tidak banyak informasi atau berita terkait aplikasi ini yang saya temukan dari media atau platform tertentu. Kebanyakan informasi yang saya dapatkan berasal dari ulasan pengguna di toko aplikasi, yang sering kali tidak cukup akurat. dan informasi terbatas disana","There isn't much information or news related to this app that I found from any particular media or platform. Most of the information I get comes from user reviews on app stores, which are often not accurate enough. There is limited information out there.",,,,,,,,,1,
Tidak ada cerita atau pengalaman dari pengguna lain yang cukup memotivasi saya untuk terus menggunakan aplikasi ini. Kebanyakan pengalaman yang dibagikan justru membuat saya semakin ragu akan manfaat dari aplikasi ini. aplikasinya juga lambat dan lama gitu,There are no stories or experiences from other users that motivate me enough to continue using this app. Most of the experiences shared actually made me even more skeptical about the benefits of this application. The application is also slow and long,,1,,,,,,,,
Komunikasi dengan pengguna lain melalui aplikasi atau platform lain tidak membantu. Banyak diskusi yang tidak relevan dan tidak memberikan solusi yang jelas untuk masalah yang saya hadapi.,Communication with other users through other apps or platforms is not helpful. A lot of the discussions were irrelevant and didn't provide a clear solution to the problem I was facing.,,,,,1,,,,,
"Tidak ada diskusi atau saran dari kelompok atau komunitas yang cukup memengaruhi cara saya menggunakan aplikasi ini. Kebanyakan saran yang diberikan terasa umum dan tidak spesifik, sehingga tidak terlalu membantu. informasi terbatas juga","No discussion or suggestions from groups or communities have affected the way I use the app enough. Most of the advice given feels general and non-specific, so it's not very helpful. Limited information too",,,,,,,,,1,
"Tidak, saya tidak memilih menggunakan aplikasi ini karena pengaruh dari lingkungan sosial. Saya lebih memilih mencoba aplikasi ini sendiri, tetapi sayangnya, pengalaman yang saya dapatkan tidak terlalu positif. jadi emang dari diri sendiri","No, I didn't choose to use this app because of the influence of the social environment. I prefer to try this app on my own, but unfortunately, the experience I got wasn't very positive. And so it is with yourself.",,,,,,,1,,,
"Penggunaan aplikasi ini lebih didasari oleh diri sendiri emang untuk mencoba hal baru, bukan karena rekomendasi orang lain. Namun, pengalaman pribadi saya dengan aplikasi ini tidak terlalu memuaskan.","The use of this application is more based on yourself to try new things, not because of other people's recommendations. However, my personal experience with this app has not been very satisfactory.",,,,,,,1,,,
"Tidak, saya tidak akan merekomendasikan aplikasi ini kepada orang lain. Pengalaman saya menggunakan aplikasi ini tidak terlalu positif, banyak fitur yang tidak berfungsi dengan baik dan informasi terbatas juga","No, I wouldn't recommend this app to anyone else. My experience using this app is not very positive, many features don't work well and limited information as well",,,,,,,,,1,
"Saya kurang percaya terhadap tenaga kesehatan yang terlibat dalam aplikasi ini. Informasi dan saran yang diberikan sering kali terasa umum dan tidak spesifik, sehingga saya merasa ragu akan kompetensi mereka. informasi terbatas juga kan tadi","I have little faith in the health workers involved in this application. The information and advice provided often felt general and non-specific, so I had doubts about their competence. There is limited information as well.",,,,,,,,,1,
"Iya, sudah pernah menggunakan Aplikasi kesehatan ada beberapa yang saya  pakai  Buat anak, untuk tumbuh kembang","Yes, I have used health applications, there are several that I use for children, for growth and development",,,,,,1,,,,
"Terus, kan saya lagi hamil, hamil ini juga disuruh  pakai  biar lebih tahu detail kondisinya selama kehamilan Jadi aplikasi hamil sama anak sih","Then, I'm pregnant, I'm also told to use this pregnancy so that I know more details of the condition during pregnancy.",,,,,,1,,,,
"Kalau hamil memang kan banyak ya, kalau saya  pakai  beberapa Kalau yang untuk anak mah yang primaku Kalau anak primaku dan ada beberapa lagi yang saya  pakai ","If I'm pregnant, it's a lot, yes, if I use a few for my children, if it's my primary child and there are a few more that I use",,,,,,1,,,,
"Kalau hamil, saya paka  teman bumil Kadang flow juga kan sekalian buat menstruasi biasanya dua bulanan gitu Alhamdulillah sih selama  pakai  gitu Dan membantu juga","If I'm pregnant, I make a pregnant friend Sometimes flow also makes menstruation usually every two months, Alhamdulillah, as long as I use it and it helps too",,,,,2,1,,,,
"Kesulitan paling kalau kayak, kan beda aplikasi suka beda cara  pakai  buat masukin berat badannya agak sulit aja","The most difficult thing is like that, it's different applications like different ways to use it to enter the weight is a bit difficult",1,,,,,,,,,
"Misalkan ada yang tidak harus  pakai  titik, atau harus ada yang  pakai  titik gitu Paling adaptasi itu aja sih selebih nya sama, itu aja, awal aja sulit di sayanya","For example, if someone doesn't have to use a point, or someone has to use a point, most of the adaptation is the same, that's it, it's difficult for me at first.",1,,,,,,,,,
"Kayak untuk, apa namanya? Yang perkembangan tinggi, berat gitu ya, grafik pertumbuhan membantu banget","Kayak for, what's its name? The development is high, the weight is heavy, the growth graph is very helpful",,,,,2,,,,,
"Terus kayak buat vaksin, ngingetin vaksin tuh kalau saya lupa kan kadang kita suka lupa fitur lengkap juga","And then I started to think about the vaccine, and I think we forgot about the vaccine.",,,,2,,,,,,
"Dia vaksin apa, nanti bulan depan apa, gitu Nah itu sih yang lebih membantu tuh ke arah itu, mengingatkan kitanya itu","What vaccine is it, what will it be next month, so that's what helps us more in that direction, reminds us of that",,,,,2,,,,,
"Kalau selama saya  pakai  sih, primaku gratis ya, kalau untuk anak","As long as I use it, my prima is free, yes, if it's for children",,,,,,,,,,2
Terus kayak teman bumil juga gratis ,And then there's the fact that it's free as a free,,,,,,,,,,2
"Tapi ada beberapa fitur yang bisa berbayar, bisa tidak gitu Maksudnya, gitu tapi Terbatas untuk fitur-fiturnya, iya fitur terbatas","But there are some features that can be paid, it can be or not I mean, that's it, but Limited for the features, yes limited features",,,,1,,,,,,
"Iya, gitu fitur terbatas sih, ada empat aplikasi yg saya  pakai  tapi sudah lupa","Yes, that's a limited feature, there are four apps that I've been using but I've forgotten about it.",,,,1,,,,,,
"Iya, asuransi kesehatan ada BPJS ada Sama yang swasta juga ada Dari kantor ya, saya juga kurang tahu","Yes, there is health insurance there is BPJS, there is the same private one From the office, yes, I also don't know",,,,,,,2,,,
"Saya juga tidak ngerti, gitu Sebenarnya kalau swasta, yang saya tahu sih kan itu waktu rekomendasi dari dokter","I also don't know, that's actually if it's private, all I know is that it's a recommendation from a doctor",,,,,,,2,,,
"Kalau aplikasi kesehatan yang negeri pemerintah ya paling, yang kayak buat BPJS aja yang JKN, kayak aplikasi pendaftaran rumah sakit aja, gitu","If the health application is the government's state, it's the best, the one that is just for BPJS is JKN, like the hospital registration application, that's it",,,,,,,2,,,
"Tapi mereka kadang ada fitur kesehatan juga, kan walaupun fitur terbatas disana","But they sometimes have health features too, even though there are limited features there",,,,1,,,,,,
"Ada fitur tambahan, gitu Mungkin karena saya tidak ngulik semuanya, kadang yang dibutuhkan aja, gitu soalnya fitur terbatas disana","There are additional features, maybe it's because I don't look at everything, sometimes it's just what is needed, that's because the features are limited there",,,,1,,,,,,
"Meskipun mereka banyak fitur juga, kadang tidak terpegang gitu sama saya, gitu Paling ya beberapa yang penting menurut saya sih, itu aja kan fitur terbatas gitu","Even though they have a lot of features too, sometimes they don't hold on to me, that's at least some of the important things in my opinion, that's just limited features",,,,1,,,,,,
"Pengingat pertumbuhan, gitu Atau misalkan lebih baik ada jadwal Ini selama ini yang saya rasa, wah kalau anak berat badannya kurang, atau apa gitu ya, tidak ada pengingat gitu di situ kan fitur terbatas gitu","A reminder of growth, that's Or suppose it's better to have a schedule This is what I feel, wow, if the child is underweight, or whatever, there's no reminder there, it's a limited feature",,,,1,,,,,,
"Cuma kayak ngukur ngitung grafik statistik aja, gitu Selebihnya dia tidak ada pengingat apa kan fitur terbatas gitu, kalau baik kurang atau gimana Untuk awalnya saya tidak tahu, kayak kalau untuk period kan kita ada, ya","It's just like measuring and calculating statistical graphs, that's the rest of the way he has no reminder of what the limited features are, if it's good enough or how For the beginning I don't know, it's like if for the period we have, yes",,,,1,,,,,,
"Maksudnya kita tahu membantu juga Karena kebetulan saya juga, gitu Satu dan lain hal  memang harus dihitung, gitu Untuk period","It means that we know how to help too Because I happen to be too, one thing and another must be calculated, that's for the period",,,,,2,,,,,
"Nah kalau misalnya untuk anak, ya waktu itu rekomendasi dari dokter, supaya kita lebih tidak harus terus-terus balik lah gitu ke dokter","Well, for example, for children, yes, at that time it was a recommendation from the doctor, so that we don't have to keep going back to the doctor",,,,,,,2,,,
"Aplikasi kita itu sih, untuk membantu Hampir sama, cuma kadang beda nama aja, gitu","Our application is to help Almost the same, only sometimes it's just a different name, that's it",,,,,2,,,,,
"Maksudnya fungsinya sama, kayak untuk ngitung period, tapi dia  pakai  aplikasinya jenis apa, gitu Kalau saya tidak semua sama, gitu, sangat membantu sih","It means that the function is the same, like to calculate periods, but what kind of application does he use, that's if I'm not all the same, that's very helpful",,,,,2,,,,,
"Kalau anak mah rata-rata sama membantu banget, gitu Kadang ya itu berpengaruh juga ya buat kita","If the average child is very helpful, that's how sometimes it affects us too",,,,,2,,,,,
"Misalnya ada yang bilang, oh ini harus berbayar nih, atau gimana","For example, someone says, oh this has to be paid, or how about",,,,,,,,,,1
"Kalau misalkan, yang privasi itu kan kayak BPJS soalnya dari pemerintah","For example, privacy is like BPJS because it is from the government",,,,,,,2,,,
"Kayak gitu Kalau yang lain kan dia langsung include ke data pemerintah, gitu","Like that, if the others are included in the government's data, that's it",,,,,,,2,,,
Kalau JKN bedanya sih itu Kalau keamanan lebih ke arah JKN justru yang lebih karena pemerintah kan,"If JKN is different, it's that if security is more towards JKN, it's more because of the government, right?",,,,,,,2,,,
Pegawai swasta. Asuransi dari kantor  pakai . Allianz. Yang dari kantor itu Lippo Insurance. S1.,Private employees. Insurance from the office use. Allianz. The one from the office is Lippo Insurance. S1.,,,,,,1,,,,
Halodoc  pakai . Terus dari Lipo Insurance juga  pakai  aplikasi namanya eBenefit. Kalau misalnya untuk halodoc biasanya untuk pesan obat.,"Halodoc wear. Lipo Insurance also uses an application called eBenefit. For example, for halodoc, it is usually to order medicine.",,,,,,1,,,,
"Dari kantor dikasih tahu. Gampang sih, lebih gampang. Fiturnya juga bagus sih.","From the office, he was informed. It's easier, it's easier. The features are also good.",,,2,,,,,,,
"Maksudnya user friendly sih fitur lengkap juga. Kalau misalnya kalau halodoc sama eBenefit, kalau misalnya konsultasi sama dokter itu jadi kayak memang agak lebih susah sih. tidak kayak ke dokter langsung. Kalau misalnya harus foto segala macam, next time. Kalau misalnya ngobrol lebih langsung kan kayaknya lebih detail itu sih biasanya. Kalau untuk day loan sendiri sih, aku biasanya tidak masukin data-data day loan buat anak, buat perkembangan anak, kurang sih.","I mean, user friendly, it's full features too. For example, if halodoc is the same as eBenefit, for example, consulting with a doctor is a bit more difficult. It's not like going to a doctor directly. For example, if you have to take photos of all kinds, next time. For example, if you talk more directly, it seems to be more detailed, that's normal. For my own day loan, I usually don't enter day loan data for children, for children's development, it's not enough.",,,,2,,,,,,
Paling kalau misalnya buat konsultasi. Itu aplikasinya berbayar sama tidak dokter? tidak. Eh kalau misalnya halodoc berbayar sih kalau konsultasi.,"At least, for example, for consultation. The application is paid the same as the doctor? not. Eh, for example, halodoc is paid for consultation.",,,,,,,,,,1
"Kalau ke rumah sakit biasanya kalau vaksin, perkembangan Delon, semuanya ada di bukunya Delon sih. Maksudnya di buku anak saya sih. Lebih murah ini sih, online. kadang dapat gratis","If you go to the hospital, usually if you have a vaccine, Delon's development, everything is in Delon's book. I mean it in my son's book. It's cheaper, online. sometimes it can be free",,,,,,,,,,2
"Kalau milih aplikasi ya. Suami sih, suami kan juga jarang  pakai  aplikasi. Kadang saya suka bilang download HaloDoc gampang, jadi kadang kalau misalnya saya tidak bisa dia juga bisa order gitu sih. membantu banget jadinya","If you choose an application. Husbands, too, rarely use applications. Sometimes I like to say that downloading HaloDoc is easy, so sometimes if for example I can't, he can also order it. It really helps",,,,,2,,,,,
"Waktu saya hamil sih kayak pernah upload segala macam, ya kalau hamil ya biasa aja, tapi kalau udah perkembangan anak aku tidak sih, jadi kayak tidak terlalu dibuka publik juga sih sebenarnya, lebih terpaksa sih. Tapi pernah tidak? Takut sih, makanya kalau hamil makanya masukin data masih oke, tapi kalau udah perkembangan anak kayak gitu tidak sih.","When I was pregnant, it was like I had uploaded all sorts of things, yes, if I was pregnant, it was normal, but if I had developed my child, it wasn't at all, so it wasn't too open to the public, actually, it was more forced. But have you ever not? I'm scared to admit that if you're pregnant, it's okay to have a baby, but if you're pregnant, it's not like that.",,,,,,2,,,,
aplikasi yang di pakai  itu Primaku,The application used is Primaku,,,,,,1,,,,
"Oh, anak, primaku ada  pakai ","Oh, son, my prima has been used",,,,,,1,,,,
"Memudahakan sih Soalnya sekarang banyak, selain yang, itu kan primaku pemerintah ya, program pemerintah","Simplifying the problem is that now there are many, apart from that, that's the prime government, yes, government programs",,,,,,,2,,,
"Atau yang ngasih aplikasi yang sama yang memudahkan buat data atau mendapatkan info terkait penyakit, tubuh kembang, dan lain-lain","Or the same application that makes it easy to create data or get info related to diseases, body development, and others",,,,,2,,,,,
"Memudahkan sih, jadi ","It's easy, so",,,,,2,,,,,
"Dan itu Input tinggi, berat badan anak, nanti langsung keluar grafiknya informasi bagus juga di grafik itu kan","And that's high input, the child's weight, later the graph will come out and the graph will be good information also on the graph, right?",,,,,,,,,2,
Jadi kita gampang buat tau seberapa jauh perkembangan anak,So it's easy to see how far a child is progressing,,,2,,,,,,,
tidak  ada kendala sampai sekarang mungkin ya cuma koneksi internet aja ,"There are no obstacles until now, maybe it's just an internet connection",,,,,,,,2,,
"Iya Kalau misalnya infonya, ya kendala koneksi gitu","Yes, if you have a problem, then there is a problem with the connection.",,,,,,,,2,,
"Iya, gratis Sebelumnya  pakai  Armedica, tapi udah tidak ","Yes, it was free before using Armedica, but it's not anymore",,,,,,,,,,2
"Kayak Halodoc, dari pemerintah kayak JKN atau Primaku","Like Halodoc, from the government like JKN or Primaku",,,,,,,2,,,
 pakai  kedua-duanya,Wear both,,,,,,1,,,,
"Iya, apalagi di sini saya punya dua anak, Halodoc sangat membantu sih","Yes, especially here I have two children, Halodoc is very helpful",,,,,2,,,,,
"Pernah Tapi tidak tetap sih Ketika dibutuhkan aja, kalau kendala memori full paling uninstall, install, install, install gitu","Once but not always when needed, if there is a problem with full memory, most uninstall, install, install, install",,,,,,,,2,,
"Aplikasi? tidak sih, selalu dimudahkan kan Kalo untuk visual kami mah yang awam gini mungkin ga terlalu memperhatikan ya, saya yakin mudah juga kan","Application? no, it's always easy, right? If for our visuals, those who are ordinary like this may not pay too much attention, I'm sure it's easy too, right?",2,,,,,,,,,
"Yang kayak harus ngeliatin terus, pelajaran fiturnya, tapi saya gampang gampang aja","It's a bit of a learning curve for me, but it's easy for me to keep going.",,,2,,,,,,,
"tidak  sih, lebih ke fiturnya bukan ke visualnya, lebih cari fitur lengkap di aplikasi saya teh","No, it's more about the features, not the visuals, more about the complete features in the app.",,,,2,,,,,,
Itu ibu-ibu mah Mulai aplikasi pemerintah primaku ya penting sih,"That's what the government is trying to do, it's important.",,,,,,,2,,,
"Soalnya ketika sekarang kan serba online, konsultasi online ke dokter juga, jadi membantu kita","The problem is that now it's all online, online consultations with doctors too, so it helps us",,,,,2,,,,,
Ini data ini tuh membantu gitu dari si grafik yang kita punya,This data helps with the graph we have,,,,,2,,,,,
"Kayak tanpa harus kontrol tiap bulan ke rumah sakit, membantu banget lah","Like without having to control every month to go to the hospital, it really helps",,,,,2,,,,,
"Kita punya data tinggi berat badan anak masuk grafik, informasi bagus ya jadinya kita tau","We have data on the child's weight in the graph, good information, so we know",,,,,,,,,2,
"Terus nanti gejalanya ketika harus sakit dari rumah via call, kalau di hubungan dokternya, kita udah punya data nih dok, bulan segini, segini, segini, segini, gitu sih aplikasi primaku, informasi bagus disana","Then later the symptoms when you have to be sick from home via call, if in the doctor's relationship, we already have data, this month, this month, this, this, that's my prime application, good information there",,,,,,,,,2,
"Kalau nanti kan banyak sekarang spesialis anak di halodoc, kita random nih, kita punya data primaku, yaudah langsung dari tinggi berat badan anak, gejala anak, si dokternya juga pasti kebantu dari si aplikasi itu, jadi emang membantu banget","If there are many pediatricians at halodoc later, we are random, we have excellent data, which is directly from the child's height, children's symptoms, the doctor will also definitely help from the application, so it really helps",,,,,2,,,,,
"pakai, Dari aplikasi-aplikasi online","use, From online applications",,,,,,1,,,,
"Bahasa Indonesia, karena punya pemerintah","Indonesian, because it has a government",,,,,,,2,,,
"pakai Aplikasi-aplikasi primaku yang tumbuh kembang anak, yang bisa didapat di ibu-ibu dan anak","use my prima facie applications that grow and develop children, which can be obtained by mothers and children",,,,,,1,,,,
Itu juga berdasarkan saya ketemu primaku itu disaranin dokter anak juga,"That's also based on me finding my primary, it was recommended by a pediatrician as well",,,,,,,2,,,
"Ya, jadi kayak melihat rating si aplikasinya gampang ngga ya","Yes, it seems to me that the app's ratings are easy to understand.",,,2,,,,,,,
"Banyak yang baru kan, banyak yang dari swasta yang baru-barunya, aplikasi yang baru","Many are new, many are from the private sector, many are new, new applications",,,,,,,2,,,
"Karena sih fiturnya sama, cuma beda kalo yang berbayar lebih lengkap aja dan bagi saya ga terlalu dibutuhkan","Because the features are the same, it's just different if the paid ones are more complete and for me it's not really needed",,,,,,,,,,1
"Mereka berbayar, terus ada langsung kontak sama spesialis anak, misalnya gitu","They are paid, and there is direct contact with a pediatric specialist, for example",,,,,,,,,,1
Jadi yang bikin mah swasta ya,That is why it is private.,,,,,,,2,,,
"Sering sih kalau apalagi teman-teman yang baru lahiran anak pertama tuh, di track-nya  pakai  aplikasi ini aja nih, jadi dapat informasi bagus tentang anak kita","Often, especially friends who have just given birth to their first child, on the track just use this application, so we can get good information about our child",,,,,,,,,2,
membantu soalnya,Help with the problem,,,,,2,,,,,
"Ibaratnya kayak buku-buku ini, tapi dia online gitu loh, jadi gampang gitu","It's like a book, but it's online, so it's easy to do.",,,2,,,,,,,
"Ini masih manual banget ya, terus kalau dibawa-bawa terlalu ribet","It's still very manual, and if you carry it around it's too complicated.",,,1,,,,,,,
"Jadi di si Primaku itu tuh si grafik ini tuh ada, tapi lebih simple sama yang ada di HP, gitu, jadi dapat informasi bagus kitanya","So in Primaku, this graph is there, but it's simpler than the one on the cellphone, so we get good information",,,,,,,,,2,
"BPJS sih, dari pemerintah aja",BPJS is from the government,,,,,,,2,,,
